NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
8,Nou Barris,47,Can Peguera,0.9992923244630307,0.9782771532197031,0.03942652329749104,0.20699356913183278,0.041693726457981556,0.03506068194952803,0.030490317264112072,0.040845404891949655,0.032328197372152374,0.04394118641203312,0.03908484270734033,0.03665887243439855,0.6104651162790697,0.0
8,Nou Barris,48,La Guineueta,0.999423661857699,0.9803628612526489,0.26469878687620624,0.21623794212218647,0.24834394077152877,0.19822770179156232,0.19756901524515863,0.26343703000079155,0.2598544285849324,0.368091938482339,0.2469018112488084,0.23517796830345544,0.7674418604651163,0.0
8,Nou Barris,49,Canyelles,0.9994961436612789,0.9781909695504695,0.11853804797353185,0.20980707395498394,0.10040264969476555,0.08890387208630322,0.08480977887652795,0.11414549196548722,0.15341714717837224,0.1363866824404259,0.07244995233555768,0.10605352039490777,0.8255813953488372,0.0
8,Nou Barris,50,Les Roquetes,0.9996044394923815,0.9830138673047027,0.2783981251723187,0.1997588424437299,0.31471619690868946,0.27595838952032364,0.2646614476033512,0.26066650835114386,0.21693921920786463,0.22038195031265845,0.11630123927550047,0.2835801506884905,0.6686046511627908,0.0
8,Nou Barris,51,Verdún,0.9995138070914187,0.9828190958258061,0.2159325889164599,0.20618971061093244,0.21496298220548124,0.19032941629743788,0.196195577530559,0.21428006015989867,0.1707155685792608,0.23271928342065235,0.14585319351763584,0.21579631073005975,0.6744186046511628,0.0
8,Nou Barris,52,La Prosperitat,0.9994726414593794,0.9844442993997181,0.4615556934105321,0.22508038585209003,0.43577087933497854,0.3929878636100944,0.3956874055761571,0.43964220691838835,0.4074109084034408,0.572418455298293,0.32125834127740704,0.43665887243439855,0.6395348837209303,0.0
8,Nou Barris,53,La Trinitat Nova,0.9996378803883833,0.985794374708797,0.13080714088778606,0.1937299035369775,0.1433952461358618,0.12704681178963592,0.11907704985578904,0.12878967782791104,0.1018999905473107,0.10461382457326347,0.10486177311725453,0.13497012210963888,0.9593023255813954,0.0
8,Nou Barris,54,Torre Baró,0.9998507338860994,0.9864987048735555,0.050213675213675216,0.18689710610932475,0.06767112612027536,0.052205740705066464,0.04491141326740832,0.05390643552600333,0.03242272426505341,0.026195707284096672,0.017159199237368923,0.05157183684073786,0.6976744186046512,0.0
8,Nou Barris,55,Ciudad Meridiana,0.9999153486622195,0.9820425845795825,0.1860697546181417,0.15514469453376206,0.2339264839589557,0.19774609901753035,0.17257244883944514,0.167814454207235,0.12609887512997447,0.15531519351022477,0.055290753098188754,0.18752922837100547,1.0,0.0
8,Nou Barris,56,Vallbona,1.0,0.9863797732167987,0.024210780259167355,0.16438906752411575,0.0327315235744902,0.01945675207089193,0.024309847548413678,0.022401646481437505,0.015975044900274127,0.020111543011661313,0.02478551000953289,0.02340867757859184,0.9302325581395349,0.0
9,Sant Andreu,57,La Trinitat Vella,0.9996617781122028,0.9898221964956039,0.17722980424593326,0.18930868167202572,0.2280815690349396,0.18137160470044308,0.17133635489630544,0.17050581809546425,0.1177805085546838,0.11458509379753254,0.06959008579599618,0.18209924655754742,0.9534883720930232,0.0
9,Sant Andreu,58,Baró de Viver,0.9995640576690253,0.9930052557132252,0.0447511717673008,0.2769292604501608,0.05520197428237433,0.042573685224426894,0.03934899052327977,0.04559487057706008,0.034218735230172985,0.03211086699340882,0.027645376549094377,0.045596258768511304,0.4825581395348838,0.0
9,Sant Andreu,59,El Buen Pastor,0.9992903347948351,0.9958104937220211,0.22546181417149158,0.26165594855305463,0.29406416417716585,0.20005779233288384,0.20292542233209723,0.23422781603736245,0.15710369600151244,0.17677877302687173,0.11534795042897998,0.2341906988828267,0.5348837209302325,0.0
9,Sant Andreu,60,San Andrés,0.9994109858625031,0.9895999167071876,0.99674317617866,0.31229903536977494,1.0,0.7581390868811404,0.8897129515176486,1.0,1.0,0.9043434172722663,0.7187797902764538,0.9668745128604832,0.5290697674418605,0.16666666666666666
9,Sant Andreu,61,La Sagrera,0.9990244572426333,0.9890262623050564,0.505807140887786,0.30988745980707394,0.45642291206650215,0.4047389712964747,0.44959483587419313,0.47083036491728014,0.5445694300028358,0.5002535068446848,0.4013346043851287,0.48168355416991426,0.5058139534883721,0.16666666666666666
9,Sant Andreu,62,Congrés i els Indians,0.9990252796388213,0.9850692213712354,0.24956920319823545,0.3018488745980707,0.2335368229640213,0.21055673280678097,0.22242823787941216,0.2591625108841922,0.19444181869741942,0.2715903329389894,0.3069590085795996,0.2504027020005196,0.47093023255813954,0.0
9,Sant Andreu,63,Navas,0.9988969520694962,0.9873432415945513,0.38213399503722084,0.32797427652733113,0.3295233147161969,0.3215180119437488,0.3326466144760335,0.37940315047890444,0.36960015124302864,0.4035828967382119,0.3489037178265014,0.3743050142894258,0.48837209302325585,0.08333333333333333
10,Sant Martí,64,El Camp de l'Arpa del Clot,0.9987110374732903,0.9859699039219216,0.6662358698649021,0.3283762057877814,0.5463047148980387,0.5561548834521287,0.6626150254085977,0.614580859653289,0.6421211834766991,0.6457664356937637,0.6253574833174452,0.6680696284749286,0.5232558139534884,0.0
10,Sant Martí,65,El Clot,0.9986917027218662,0.9895869981907303,0.46596705266060107,0.3360128617363344,0.4386283932978309,0.40791754960508575,0.4199285812388408,0.47581730388664606,0.44824652613668586,0.3743451073178976,0.32983794089609153,0.467887763055339,0.5116279069767442,0.16666666666666666
10,Sant Martí,66,El Parc i la Llacuna del Poblenou,0.9984693639332244,0.9898212479332068,0.2664219740832644,0.40353697749196143,0.25016235874788934,0.2340589481795415,0.28210410657876667,0.23533602469722156,0.2395311466112109,0.2185229001183032,0.18779790276453764,0.277604572616264,0.4244186046511628,0.0
10,Sant Martí,67,La Vila Olímpica del Poblenou,0.9982073258377107,0.9923073396370574,0.15958436724565755,0.6599678456591639,0.1772957526951552,0.1653823926025814,0.12010712814173877,0.18609989709491015,0.15029775971263826,0.07317897583234748,0.05338417540514776,0.1681215900233827,0.47093023255813954,0.0
10,Sant Martí,68,Poble Nou,0.9984643861451565,0.9945131085677091,0.5834884201819686,0.4015273311897106,0.6868424470710481,0.442303987670969,0.6081582200247219,0.6237631599778358,0.408167123546649,0.41220212945749535,0.4652049571020019,0.6032995583268381,0.4534883720930233,0.4166666666666667
10,Sant Martí,69,Diagonal Mar i Front Marítim del Poblenou,0.9985777731151211,0.9997631755881595,0.2326475048249242,0.6032958199356913,0.33017274970775423,0.147274128298979,0.24687542919928582,0.2556004116203594,0.14935249078362794,0.1561602163258408,0.09723546234509056,0.22774746687451286,0.5813953488372093,0.08333333333333333
10,Sant Martí,70,El Besòs i el Maresme,0.998812920543505,1.0,0.4251619795974635,0.2427652733118971,0.4749967528250422,0.41591215565401657,0.40976514215080345,0.4031504789044566,0.3106153700727857,0.3513604867331418,0.26024785510009535,0.451623798389192,0.6686046511627908,0.0
10,Sant Martí,71,Provençals del Poblenou,0.9987398382218878,0.9955952375843911,0.36190377722635786,0.41117363344051444,0.3907000909208988,0.295511462146022,0.3542782584809779,0.3808279901844376,0.29057566877776725,0.2830826432313672,0.19733079122974262,0.3738893219017927,0.5058139534883721,0.08333333333333333
10,Sant Martí,72,Sant Martí de Provençals,0.9988500586047724,0.9932660200331862,0.44907981803143093,0.2709003215434084,0.4013508247824393,0.35253323059140823,0.369248729570114,0.45507797039499726,0.4179979204083562,0.5644752408315025,0.40324118207816967,0.4217978695765134,0.6104651162790697,0.0
10,Sant Martí,73,La Verneda i la Pau,0.9990116727200814,0.9950600912227137,0.4961228287841191,0.22909967845659163,0.4488894661644369,0.4019456752070892,0.39555006180469715,0.48309981793714873,0.48955477833443617,0.62447186074024,0.4051477597712107,0.4573135879449208,0.6337209302325582,0.08333333333333333
